productid,productskuid,New Product Name,Quantity,New_level1,New_level2,Valued_level2,New_level3,brandname,orig_score,aggr_score
100064070,10073162.0,badshah hing,50 g,masala,spices & masalas,spices & masalas,powdered spices,Badshah,0.0,0.0
100144223,10155964.0,bedekar dry mango powder,50 g,masala,spices & masalas,spices & masalas,powdered spices,Bedekar,0.0,0.0
100043845,10051377.0,bikano yummy cream and onion flavour chips,1 pcs,snacks,snacks,snacks,potato chips branded,Bikano Snacks,0.0,0.0
100085977,10098222.0,chhedas navaratna namkeen mix,150 g,,snacks,snacks,namkeen,Chhedas,0.0,0.0
100033155,10039684.0,chitale special chivda,200 g,snacks,snacks,snacks,namkeen,Chitale,0.0,0.0
100081190,10092835.0,crispy desiccated pink onion,150 gm,masala,spices & masalas,,,Crispy,0.0,0.0
100050056,10057752.0,dabur hommade garlic paste,200 g,masala,spices & masalas,,,Dabur,0.0,0.0
100005044,10005800.0,diet foods corn schezwan triangle,200 g,snacks,snacks,snacks,potato chips branded,Diet Foods,0.0,0.0
100114840,10126581.0,eastern super garam masala,200 g,masala,spices & masalas,spices & masalas,blended masalas,Eastern,0.0004163651000087,0.0004163651000087
100022203,10025788.0,grace caribbean traditions chicken seasoning,135 g,masala,spices & masalas,spices & masalas,seasoning,Grace,0.0,0.0
100040866,10048290.0,haldirams mini bhakhar badi,200 g,snacks,snacks,snacks,namkeen,Haldirams,0.0,0.0
100046757,10054392.0,jk red chilli powder,100 g,masala,spices & masalas,spices & masalas,powdered spices,JK,0.0,0.0
100100022,10112273.0,jk red chilli powder,50 g,masala,spices & masalas,spices & masalas,powdered spices,JK,0.0,0.0
100027927,10032982.0,jalaram foods spinach n herb sticks,100 g,snacks,snacks,snacks,herbed sticks,JFS,0.0,0.0
100106042,10117900.0,kamadhenu gundu chilly,200 g,masala,spices & masalas,spices & masalas,whole spices,Kamadhenu,0.0,0.0
100004982,10005723.0,kettle classic natural chips,142 g,snacks,snacks,snacks,potato chips branded,Kettle,0.0,0.0
100022171,10025754.0,knorr aromat seasoning powder,500 g,masala,spices & masalas,spices & masalas,seasoning,Knorr,0.0,0.0
100149577,10161318.0,kubal kokam,100 g,masala,spices & masalas,spices & masalas,whole spices,Kubal,0.0,0.0
100005131,10005900.0,lays maxx hot n sour punch chips,92 g,snacks,snacks,snacks,potato chips branded,Lays,0.0,0.0
100016657,10019413.0,mdh sambhar masala,100 g,masala,spices & masalas,spices & masalas,blended masalas,MDH,0.0,0.0
100016932,10019713.0,mtr pav bhaji masala,100 g,masala,spices & masalas,spices & masalas,blended masalas,MTR,4.771326330085818e-05,4.771326330085818e-05
